,question,referenceAnswers,studentAnswer,label
27,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,when the switches are closed the path flows,3
28,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the bulb is contained in an closed circuit,3
29,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if they are closed or open,2
30,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,l,2
31,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The path has to be closed in order for the bulb to be on.,2
32,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The path may not connect a bulb to the switch.,2
33,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The switch determines whether the path is open or closed.,2
34,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"If the path contains the switch, the bulb is affected.",2
35,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the path is open or closed,3
36,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path passes the energy through the switch,2
37,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the switch is contained in a path and then it is contained in a closed cercuit,3
38,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,a bulb is contained in a closed path,2
39,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if the switch it is in the closed path, then it affects the bulb",2
40,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if the switch is included in the bulb""s closed path, then the switch being open will affect the bulb",1
41,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,battery and bulb,2
42,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,open switch,2
43,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,no role,3
44,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,there is no path when a switch is open,3
45,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path only determines if a bulb is off when the switch is open,2
46,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the bulb is contained within the path,2
47,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The path must be closed and contain the battery,2
48,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The bulb must be in a closed pathway containing the battery,2
49,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The switch is contained in the pathway of the bulb and the battery,1
50,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path has to be closed for the bulb to light up,2
51,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,fuck you,2
52,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,i dont know,2
53,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if the path is closed with the battery, the switch doesnt affect it",2
54,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,tell answer,2
55,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The switch is contained in the path,2
56,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"If there is an open switch in the path, the bulb will not be on.",2
57,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The bulb is contained in a path with an open switch,1
58,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the bulb is on the same path as the switch,1
59,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the switch affects the bulb if it is on the same path,1
60,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,bulbs will be affected by switches that are in the path to the battery,2
61,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,bulbs will be affected by switches that are in the path,2
62,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"If the path is not closed, the switch will not affect the bbulb",2
63,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The path has to be closed in order for a switch to affect a bulb,2
64,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"If the switch is open, the path is not closed",2
65,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if a path is connected to an oen switch, the bulb will be off.",2
66,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if the path is connected to an open switch, the bulb will be off.",2
67,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,i give up.,2
68,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,If the path is not closed then a bulb will not be on,2
69,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The path must be closed,2
70,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path has to be closed,2
71,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the switch has to be within a closed path with the bulb and battery,1
72,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,it can be either closed or open,2
73,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the switch being open or closed determines if the path is closed or not,2
74,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,bulbs must be in a closed path with the battery in order to work,2
75,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,bulb is contained in closed path,2
76,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,switch is closed to make a closed path,2
77,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,it depends on whether its an open or closed path,3
78,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the switch has to be located within a closed path for the bulb to go on,2
79,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A switch will affect the bulb if they are contained in the same path.,1
80,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A switch will affect any bulb that is in the same path.,1
81,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"A bulb with an open switch in it""s path cannot turn on.",1
82,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The bulb has to be in the same closed path as the battery which is connected to the switch.,1
83,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,It determines whether or not the light bulbs will turn on.,2
84,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path a bulb is on determines whether or not a switch affects a bulb,2
85,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,a switch must be closed to create a closed path circuit. a bulb will turn on if it is on a closed path. a bulb will not turn on if it is on an open circuit or if a switch is open.,2
86,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,The path determines if the bulb will turn on or not,2
87,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"Path must be complete for bulb to be on. If switch is open, it breaks the path",3
88,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"The path to the battery must be closed, so the switch must be closed in order for the bulb to be on.",2
89,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if there is a closed path the light bulb will light and if it is cut off it will not light,2
90,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the path must be closed in order for the bulb to be lit,2
91,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A closed path with a battery enables the bulb to be on.,2
92,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,depends on whether it is before or after the bulb,3
93,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"a large one, if it is closed it will light up but if it is open it will not",2
94,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,it does,3
95,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,it closes the circuit,3
96,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,When switch is open it creates a gap in the path.,2
97,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if a path has an open ciricuit, all bulbs on the path will be off",3
98,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the switch is in the path is can affect the light bulb,2
99,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the path is open the bulb will be off,2
100,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"If the path contains is closed with a battery, the bulb will light up.",2
101,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if a switch is not in a bulbs closed circuit then it will not affect the bulb,3
102,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"Energy flows through the path so if there""s a gap, there""s no energy",3
103,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if the switch is contained in the same path as the bulb and battery, it must be closed for the bulb to be connected.",1
104,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,if the switch is in a closed path with the lightbulb it must be closed for the lightbulb to be on,1
105,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,If a switch is connected to a bulb it will still work.,3
106,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,A bulb in a closed path is not affected if the switch is closed.,2
107,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,If the path is unbroken by the switch then the switch will not have an affect,2
108,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,it the switch is blocking the battery it effects it if not then it doesnt matter.,2
109,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"I don""t know",2
110,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,If the switch is in front of the path of a light bulb or not.,3
111,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"if the path is closed, the bulbs will remain on.",2
112,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,"If the path is directly connected to the battery, then the switch affects a bulb.",2
113,What role does the path play in determining whether or not a switch affects a bulb?,If a bulb and a switch are in the same path the switch affects the bulb / The switch and the bulb have to be in the same path,the switch has to be contained in the same path as the bulb and the battery,1
114,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is no difference in electrical states,3
115,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the terminals are the same,3
116,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,i do not know,2
117,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the terminal are seperated by a gap when the bulb goes out,2
118,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,There is no difference between the two terminals.,2
119,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,The bulb is off.,3
120,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,they are connnected to the negative terminal of the battery,1
121,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the bulb terminal and the battery terminal have the same electrical state.,1
122,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the bulb terminal is connected to the battery terminal.,1
123,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,There is no gap so there is no difference in voltage,2
124,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,The positive battery terminal is seperated from the negative battery terminal,2
125,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is a gap.,3
126,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is a gap between the positive battery connection and the bulb terminal.,3
127,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is a gap between the battery terminal and the bulb terminal.,3
128,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is a gap between the positive battery terminal and the bulb terminal.,3
129,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is a gap between the bul and battery terminal.,3
130,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,There is a gap between the bulb and the battery terminal.,3
131,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is not a gap in the connection,2
132,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the terminal is connected to the difference of the battery terminal,3
133,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,The electrical states of the bulb terminal and the battery terminal are the same.,1
134,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,its not working,3
135,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the terminal it is connected to is not working,3
136,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the two terminals will both be 0,3
137,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,a terminal is connected to differenet states,3
138,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,There is no difference in electrical states.,1
139,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,A terminal is connected to the battery.,1
140,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the bulb will not light,2
141,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the terminal is connected to postive end of battery,3
142,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,that there is no electrical connection,3
143,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,no electricity,3
144,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,to a battery,3
145,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is none,3
146,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,there is a separation,3
147,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the bulb is connected to the battery terminal,1
148,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,the bulb terminals are connected to the battery terminal,1
149,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,It tells you that it is connected to a positive battery terminal.,3
150,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,that buld and the battery terminals are connected,1
151,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,bulb,2
152,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,it is negative,3
153,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,The connection is closed,3
154,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,it is closed,3
155,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,The terminal is connected to the bulb,3
156,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,That it is a negative terminal.,3
157,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,the terminals are connected / the terminals are not separated by a gap / there is no gap between the terminals / The terminals are in the same state.,The terminal is connected to a negative terminal.,3
